First Name,Last Name,DOB,Registration Number,State,Maths,Physics,GK,English,Overall Marks,PFT
Prakash,Mahajan,12/27/2005,153518,Tamil Nadu,20,14,19,14,67,PASS
Narendra,Krishnamurthy,3/13/2005,451012,Tamil Nadu,16,5,20,25,66,PASS
Sachin,Rana,8/22/2004,530226,Tamil Nadu,17,24,5,13,59,PASS
Sharvan,Jha,3/10/2004,847725,Tamil Nadu,23,7,7,21,58,PASS
Bhushan,Ganguly,12/19/2003,102149,Tamil Nadu,5,20,18,14,57,PASS
Anurag,Mani,2/11/2004,782354,Tamil Nadu,5,13,18,20,56,PASS
Sidharth,Kadakia,9/11/2004,638645,Tamil Nadu,9,20,13,10,52,PASS
Anmol,Chakrabarti,6/30/2007,692360,Rajasthan,22,25,24,17,88,PASS
Chetan,Gour,6/15/2007,479228,Rajasthan,23,20,17,25,85,PASS
Umesh,Lal,4/20/2006,925633,Rajasthan,18,18,23,8,67,PASS
Neeraj,Mand,3/27/2005,335998,Rajasthan,19,10,22,16,67,PASS
Himanshu,Tella,5/17/2006,806010,Rajasthan,9,22,20,14,65,PASS
Virat,Butala,4/21/2007,719255,Rajasthan,11,16,14,22,63,PASS
Siddharth,Chauhan,8/22/2004,354827,Maharashtra,19,22,18,21,80,PASS
Karan,Ratta,2/14/2005,586121,Maharashtra,24,20,17,18,79,PASS
Dhruv,Wali,3/13/2006,445619,Maharashtra,17,24,13,24,78,PASS
Krish,Kurian,2/20/2007,213363,Maharashtra,10,20,25,14,69,PASS
Aarush,Kaul,7/5/2006,532409,Bihar,18,13,25,24,80,PASS
Ashwin,Kuruvilla,1/8/2004,430345,Bihar,18,23,23,14,78,PASS
Arnav,Sibal,4/10/2007,802393,Bihar,12,18,23,21,74,PASS
Harendra,Bajaj,8/23/2005,841701,Bihar,20,23,7,20,70,PASS
Nishit,Banerjee,10/6/2006,418065,Kerala,17,24,14,24,79,PASS
Yogesh,Bhat,2/21/2005,210303,Kerala,17,21,9,24,71,PASS
Ajay,Magar,8/10/2007,147462,Kerala,21,18,19,7,65,PASS
Varun,Lal,3/26/2005,868800,Gujarat,23,23,16,9,71,PASS
Piyush,Sama,7/7/2005,454018,Gujarat,10,14,19,25,68,PASS
Satyam,Srinivas,4/24/2006,331930,Andhra Pradesh,19,12,16,21,68,PASS
Shivam,Khatri,5/16/2005,858571,Andhra Pradesh,18,8,23,16,65,PASS
Hemant,Loyal,3/8/2005,969577,Punjab,23,25,22,20,90,PASS
Ranveer,Dave,12/24/2004,278683,Punjab,11,10,19,22,62,PASS
